Accession
A2VEC9
A4UGR9
O14686
O15018
O15230
O43149
O60229
O60281
O60494
O60613
O60673
O75445
O75592
O75691
O75962
O94915
O95071
O95359
O95613
O95714
P01266
P04114
P04275
P07203
P08519
P08F94
P11532
P12111
P13611
P15822
P15924
P18283
P20929
P20930
P21359
P21817
P22105
P22352
P24043
P25054
P25391
P35555
P35556
P36969
P42858
P46013
P46939
P49454
P49792
P49895
P49908
P50851
P51587
P55073
P58107
P62341
P78509
P78527
P78559
P98088
P98160
P98161
P98164
Q01484
Q02224
Q02388
Q02505
Q02817
Q03001
Q03164
Q07954
Q09666
Q0VDD8
Q12802
Q12830
Q12955
Q13315
Q14204
Q14315
Q14517
Q14571
Q14643
Q14789
Q15149
Q15413
Q15751
Q15772
Q15911
Q16787
Q16881
Q2LD37
Q3L8U1
Q4G0P3
Q4LDE5
Q5CZC0
Q5SZK8
Q5T011
Q5T1H1
Q5T4S7
Q5TBA9
Q5THJ4
Q5VST9
Q5VT06
Q63HN8
Q685J3
Q68DQ2
Q6KC79
Q6N022
Q6V0I7
Q6ZNJ1
Q6ZR08
Q6ZRI0
Q6ZRS2
Q6ZTR5
Q709C8
Q70CQ2
Q75N90
Q7Z407
Q7Z408
Q7Z5P9
Q7Z6Z7
Q7Z7G8
Q7Z7M0
Q86UP3
Q86UQ4
Q86VQ6
Q86WI1
Q86XX4
Q86YZ3
Q8IVF2
Q8IVF4
Q8IWI9
Q8IZF6
Q8IZQ1
Q8IZT6
Q8N2C7
Q8N3K9
Q8NCM8
Q8NEZ4
Q8NF91
Q8NFC6
Q8NFP9
Q8TCU4
Q8TD26
Q8TD57
Q8TDJ6
Q8TDW7
Q8TDX9
Q8TE73
Q8WUY3
Q8WWX9
Q8WXG9
Q8WXH0
Q8WXI7
Q8WXX0
Q8WZ42
Q92736
Q92813
Q96DT5
Q96JB1
Q96JG9
Q96JQ0
Q96L91
Q96M86
Q96PZ7
Q96Q15
Q96RL7
Q96RW7
Q96T58
Q99611
Q99698
Q99715
Q99996
Q9BQE4
Q9BVL4
Q9BXT5
Q9C0D9
Q9C0G6
Q9H251
Q9H5I5
Q9H799
Q9HC84
Q9HCU4
Q9NNW7
Q9NR09
Q9NR48
Q9NR99
Q9NRC6
Q9NT68
Q9NU22
Q9NYC9
Q9NYQ6
Q9NYQ7
Q9NYQ8
Q9NZJ4
Q9NZR2
Q9NZV5
Q9NZV6
Q9P225
Q9P2D1
Q9P2D7
Q9P2P6
Q9UFH2
Q9UKN1
Q9UKN7
Q9UKZ4
Q9UMN6
Q9UPA5
Q9UPN3
Q9UQ35
Q9Y493
Q9Y4A5
Q9Y4D8
Q9Y520
Q9Y6D0
Q9Y6R7
Q9Y6V0
A0A8I5KQE6
C0HM02
C0HM98
C0HMA1
O15417
P0DW28
P0DW81
P59796
P59797
P69208
Q6V1P9
Q6ZS81
Q8IYW2
Q8NDA2
Q96N23
C0HLZ6
C0HM01
C0HM83
O15050
P0DTL5
P0DTL6
P0DV77
P0DX53
P0DXC1
P63302
Q6ZQQ6
Q9Y485
A0A087WUL8
A0A0A0MT78
A0A0A0MT89
A0A0A0MTA4
A0A0J9YX06
A0A0J9YXA8
A0A8V8TNH8
A0A8V8TPE2
C0HLS1
P02728
P02729
P0DOY5
P0DPF2
P0DPI4
P0DPR3
P0DQW0
P0DTL4
P0DV73
P0DV74
P0DV75
P0DV76
P0DV79
P0DW11
P0DW12
P0DW13
P0DW14
P0DW85
P0DX00
P0DX01
P0DX02
P0DX04
P0DX52
P22103
Q8IZQ5
A0A8I5KY20
A0A8V8TMC4
P01358
P01858
P0DQW1
P0DV60
P0DXC3
